Book Title,ISBN No.,Price
Microsoft Excel Inside Out,9780137559534,$42.16
"Windows Internals, Part 2, 7th Edition",9780135462409,$53.49
Microsoft Office Inside Out,9780137564095,$36.93
Microsoft Excel Step by Step,9780137564279,$30.62
"Microsoft Excel Data Analysis and Business Modeling, 7th Edition",9780137613663,$34.87
Intermediate Statistics with R,1001651662833,$0.00
Professional Scrum Development with Azure DevOps,9780136789239,$39.99
Developing Microservices Architecture on Microsoft Azure with Open Source Technologies,9780136819387,$41.93
Begin to Code with JavaScript,9780136870722,$19.11
Microsoft Azure Data Solutions,9780137252503,$36.23
Ansible Succinctly,9781642002164,$0.00
Bash Guide,1001651514138,$0.00
Taking Kubernetes from Test to Production,1001651514256,$0.00
Powerful Command-Line Applications in Go,9781680506969,$41.41
Pythonic Programming,9781680508611,$16.98
Go Brain Teasers,9781680508994,$13.76
Python Brain Teasers,9781680509007,$18.95
Pandas Brain Teasers,9781680509014,$8.28
Flutter UI Succinctly,9781642002195,$0.00
Developing Graphics Frameworks with Python and OpenGL,9781032021461,$0.00
